mood,genre,track_id
joy,pop,1PxKsGzQcmiwDHvA9ig5gv
joy,pop,1zi7xx7UVEFkmKfv06H8x0
joy,pop,6gpcs5eMhJwax4mIfKDYQk
joy,pop,1KGi9sZVMeszgZOWivFpxs
joy,pop,07K4GcCDSTiXUF5ssyTRUM
joy,pop,6HZ9VeI5IRFCNQLXhpF4bq
joy,pop,7d23MhPFE9eB3U8DPRirnL
joy,pop,1uigwk5hNV84zRd5YQQRTk
joy,pop,0CokSRCu5hZgPxcZBaEzVE
joy,pop,6w2rrJsn8Qpa7veSaVAyKh
joy,pop,3E7ZwUMJFqpsDOJzEkBrQ7
joy,pop,2GjMaJ7DacMIkgoe8oMXGg
joy,pop,3xgT3xIlFGqZjYW9QlhJWp
joy,pop,152lZdxL1OR0ZMW6KquMif
joy,pop,3E7dfMvvCLUddWissuqMwr
joy,pop,4tKGFmENO69tZR9ahgZu48
joy,pop,6JY1IdkZGeIcPegKxjSKeb
joy,pop,6etwirSInfuJrSOlogS6Sh
joy,pop,2Za1AlJNvksouPPWbXpR2X
joy,pop,6FE2iI43OZnszFLuLtvvmg
joy,pop,5AJ9hqTS2wcFQCELCFRO7A
joy,pop,5WHTFyqSii0lmT9R21abT8
joy,pop,5619Ojc6t9evEEs3B7Drhe
joy,pop,6TqXcAFInzjp0bODyvrWEq
joy,pop,1Je1IMUlBXcx1Fz0WE7oPT
joy,pop,6kWJvPfC4DgUpRsXKNa9z9
joy,pop,6hmhG1b4LEyNuashVvuIAo
joy,pop,2jUO4Rbw8VizhpHS63jrq4
joy,pop,7oOOI85fVQvVnK5ynNMdW7
joy,pop,2i0AUcEnsDm3dsqLrFWUCq
joy,pop,6v3KW9xbzN5yKLt9YKDYA2
joy,pop,4kbj5MwxO1bq9wjT5g9HaA
joy,pop,3Vo4wInECJQuz9BIBMOu8i
joy,pop,4HSAJpNocVNJbwbQvtCMdO
joy,pop,5kfNriitmkNE8mUbZ7gbq8
joy,pop,0nhBKubnVz9yFNNprBniWz
joy,pop,3lXbHd0EoryoQh3vpevNEP
joy,pop,0r4iLyCpW9e27ATCupFF64
joy,pop,3JTjLyrnevl9ASw3ayGO2P
joy,pop,5e08a8D8T3z4LDXbUIjxKQ
joy,pop,75u9uswC5UMdtv4SQ3xSYf
joy,pop,3PfIrDoz19wz7qK7tYeu62
joy,pop,2PpruBYCo4H7WOBJ7Q2EwM
joy,pop,1Cbl3Yq8rHo7hhDQmLQagU
joy,pop,0TrPqhAMoaKUFLR7iYDokf
joy,pop,2NjO87HyT80fsgejd3PLYW
joy,pop,0DiWol3AO6WpXZgp0goxAV
joy,pop,4M70OqsMnH6GwzEFtYAF5o
joy,pop,3F9ByoUqu31xU0I3G5xfVg
joy,pop,0J2p4KYdr6Mg4ET6JPlbe1
joy,pop,05wIrZSwuaVWhcv5FfqeH0
joy,pop,5ubvP9oKmxLUVq506fgLhk
joy,pop,4hjuUelurEBKlqpJPJ77Iw
joy,pop,2WQ09wqQBIOor7Q0VpIDBK
joy,pop,0NMUFQdEFjftg0BQnyZCsh
joy,pop,30cSNer6TV8x2utjULVeQ5
joy,pop,19RybK6XDbAVpcdxSbZL1o
joy,pop,4w2GLmK2wnioVnb5CPQeex
joy,pop,5h68SoVFGleijCtjEja3xG
joy,pop,39LLxExYz6ewLAcYrzQQyP
joy,pop,190jyVPHYjAqEaOGmMzdyk
joy,pop,6epn3r7S14KUqlReYr77hA
joy,pop,1dzQoRqT5ucxXVaAhTcT0J
joy,pop,0TwBtDAWpkpM3srywFVOV5
joy,pop,32OlwWuMpZ6b0aN2RZOeMS
joy,pop,1golLrmqyxDWedF7YUHCOD
joy,pop,7jk7gqyEonmVVYahZN5zhW
joy,pop,3OtMnyUaiipcAT23A8liyi
joy,pop,6GQuF9vzJAVs7fYN9ftBdP
joy,pop,2jATUzETZL49e6SywauZKE
joy,pop,3hlksXnvbKogFdPbpO9vel
joy,pop,2EBCVPNAG46nbgs6jXPGvv
joy,pop,0puf9yIluy9W0vpMEUoAnN
joy,pop,2yjlYDiNiQkdxVqTlaSrlX
joy,pop,3zEN0ii6s4DHHBpnTp3RP7
